"screen_name"	"text"	"favorite_count"	"retweet_followers_count"	"retweet_count"	"created_at"	"termo"	"url"
"conserva_sp"	"@jdoriajr Olha o papo do João Dollar, isto procede @marciofrancasp , @caiofranca40 ? https://t.co/gAuTQ24Mmo"	1	NA	0	2020-02-28 18:52:23	"@marciofrancasp"	"https://twitter.com/conserva_sp/status/1233464983557722112"
"HelenaCatanio"	"@marciofrancasp Márcio, por favor, ganhe a prefeitura de São Paulo."	1	NA	0	2020-02-28 18:05:36	"@marciofrancasp"	"https://twitter.com/HelenaCatanio/status/1233453211081756672"
"NelsonHamada3"	"@jdoriajr Desculpa @marciofrancasp eu errei no voto...
Não cometo mais esse erro!
#dorianuncamais"	0	NA	0	2020-02-28 15:38:58	"@marciofrancasp"	"https://twitter.com/NelsonHamada3/status/1233416308466868225"
"inalda59630970"	"...PIOR QUE TENHO QUE ADMITIR O MESMO!.....O CIDADÃO PAULISTA OU FICAVA NA MERDA C/O @jdoriajr OU MERGULHAVA DE CABEÇA, NA BOSTA, COM @marciofrancasp E SEUS PARCEIROS PETISTAS!.... https://t.co/qM9ldWhpAe"	0	12651	4	2020-02-28 08:58:59	"@marciofrancasp"	"https://twitter.com/inalda59630970/status/1233315651659423744"
"Eli_Mj"	"...PIOR QUE TENHO QUE ADMITIR O MESMO!.....O CIDADÃO PAULISTA OU FICAVA NA MERDA C/O @jdoriajr OU MERGULHAVA DE CABEÇA, NA BOSTA, COM @marciofrancasp E SEUS PARCEIROS PETISTAS!.... https://t.co/qM9ldWhpAe"	0	12651	4	2020-02-27 19:00:37	"@marciofrancasp"	"https://twitter.com/Eli_Mj/status/1233104667791568897"
"UK_Isadora"	"@jotaefe2805 @jdoriajr @marciofrancasp Eu sei. Eu tb votei no doria."	1	NA	0	2020-02-27 18:29:51	"@marciofrancasp"	"https://twitter.com/UK_Isadora/status/1233096924745605125"
"UK_Isadora"	"@jotaefe2805 @jdoriajr @marciofrancasp Muito triste ter tantas porcarias como opção"	1	NA	0	2020-02-27 17:42:53	"@marciofrancasp"	"https://twitter.com/UK_Isadora/status/1233085106379804672"
"jotaefe2805"	"@Antonio38592545 @jdoriajr @marciofrancasp ....ESPERO!"	1	NA	0	2020-02-27 18:26:55	"@marciofrancasp"	"https://twitter.com/jotaefe2805/status/1233096186741108738"
"jotaefe2805"	"@UK_Isadora @jdoriajr @marciofrancasp ...INFELIZMENTE ERA O QUE NOS RESTAVA!...."	1	NA	0	2020-02-27 18:27:35	"@marciofrancasp"	"https://twitter.com/jotaefe2805/status/1233096354458734597"
"jotaefe2805"	"...PIOR QUE TENHO QUE ADMITIR O MESMO!.....O CIDADÃO PAULISTA OU FICAVA NA MERDA C/O @jdoriajr OU MERGULHAVA DE CABEÇA, NA BOSTA, COM @marciofrancasp E SEUS PARCEIROS PETISTAS!.... https://t.co/qM9ldWhpAe"	8	NA	4	2020-02-27 17:39:01	"@marciofrancasp"	"https://twitter.com/jotaefe2805/status/1233084132281978880"
"MHarmenon"	"@jotaefe2805 @jdoriajr @marciofrancasp Dois 💩💩"	1	NA	0	2020-02-27 18:24:32	"@marciofrancasp"	"https://twitter.com/MHarmenon/status/1233095588880752641"
"Antonio38592545"	"@jotaefe2805 @jdoriajr @marciofrancasp Você estão certos, não tinha opção, realmente fica difícil, imagina cair novamente nas garras dos canalhas petistas, lixos, o dória está encerrando sua carreira política, outras opções virão talvez até melhor."	1	NA	0	2020-02-27 18:10:06	"@marciofrancasp"	"https://twitter.com/Antonio38592545/status/1233091955694936065"
"Bonavides2"	"No #tbt de hj, vamos relembrar a década de 80, quando eu presidia o Centro Acadêmico de Direito da UniSantos. Na época, lutamos pela volta da eleição municipal. Foi uma grande conquista, pq, naquele tempo, os prefeitos eram nomeados e a população não tinha participação na escolha https://t.co/gu9a9WXiZa"	0	25093	1	2020-02-27 16:56:55	"@marciofrancasp"	"https://twitter.com/Bonavides2/status/1233073536555769858"
"Bonavides2"	"Fala d DÓRIA é inapropriada/Injusta:“ Professores ? Em SP já são bem pagos, exceto os preguiçosos que ficam tomando SUCO DE LARANJA ......!!!”
Sou casado c/profª e sei do esforço desses profissionais. Por favor, Gov, peça desculpas , vc foi MUITO infeliz !https://t.co/lufec7DMfw"	0	25093	26	2020-02-23 03:45:39	"@marciofrancasp"	"https://twitter.com/Bonavides2/status/1231424859588190213"
"Bonavides2"	"@majorolimpio Lamentável essa forma de tratar os servidores. Não me surpreende, mas aguardo um pedido de desculpas. Seria o mínimo! 😓"	0	25093	2	2020-02-23 03:46:46	"@marciofrancasp"	"https://twitter.com/Bonavides2/status/1231425138664624128"
"cKaiqueBarreto"	"@frank_rossete @carteiroreaca @jairbolsonaro O povo de São Paulo deu um tiro no pé, o @jdoriajr Quando eleito prefeito garantiu ficar os 4 anos do mandato, agora quer ser presidente, era melhor ter deixado o @marciofrancasp ter vencido, pois ele vem forte ai pra disputar a prefeitura."	1	NA	0	2020-02-27 16:24:04	"@marciofrancasp"	"https://twitter.com/cKaiqueBarreto/status/1233065269972566017"
"Jefferson_Cunha"	"@marciofrancasp tinha até franja!!"	2	NA	0	2020-02-27 15:02:14	"@marciofrancasp"	"https://twitter.com/Jefferson_Cunha/status/1233044677282148353"
"Mariademirai"	"URGENTE!!!
Insensibilidade tem limite !!!
Governador , não RETIRE  a verba da Escola de 150  CRIANÇAS AUTISTAS !!!!
Compartilhem !!!!!!
Para o Doria rever sua decisão !!
https://t.co/HY3AMFmWHU https://t.co/Rz4xOV3kVK"	0	25093	37	2020-02-27 13:02:18	"@marciofrancasp"	"https://twitter.com/Mariademirai/status/1233014494625964032"
"zidibtateno"	"@jdoriajr Votando em vc , sinto que joguei meu voto no lixo!!! O @marciofrancasp estava certo, vc é um traídor... #naosourobo #BolsonaromaisFORTEem2020"	0	NA	0	2020-02-27 08:25:29	"@marciofrancasp"	"https://twitter.com/zidibtateno/status/1232944832424939520"
